example_id                                                     | status | run_time        |
-------------------------------------------------------------- | ------ | --------------- |
./spec/controllers/api/v1/todo_items_controller_spec.rb[1:1:1] | passed | 0.01244 seconds |
./spec/controllers/api/v1/todo_items_controller_spec.rb[1:1:2] | passed | 0.03321 seconds |
./spec/controllers/api/v1/todo_items_controller_spec.rb[1:2:1] | passed | 0.0433 seconds  |
./spec/controllers/api/v1/todo_lists_controller_spec.rb[1:1:1] | passed | 0.00661 seconds |
./spec/controllers/api/v1/todo_lists_controller_spec.rb[1:1:2] | passed | 0.0035 seconds  |
./spec/controllers/api/v1/todo_lists_controller_spec.rb[1:1:3] | passed | 0.00363 seconds |
./spec/controllers/api/v1/todo_lists_controller_spec.rb[1:2:1] | passed | 0.0133 seconds  |
./spec/controllers/api/v1/todo_lists_controller_spec.rb[1:2:2] | passed | 0.00878 seconds |
./spec/controllers/api/v1/todo_lists_controller_spec.rb[1:3:1] | passed | 0.00617 seconds |
